,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
35,35,2-STORY 1946 & NEWER,Residential Low-Density,108,13418,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,132,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,1117,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2452,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004,Finished,3,691,Typical/Average,Typical/Average,Paved,No Fence,Sep,2006,Warranty Deed - Conventional,Normal Sale,309000,3.5,145,2,23.02876732747056
36,36,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,NormalNormal,Average,Average,1994,1995,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1097,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1097,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1995,Unfinished,2,672,Typical/Average,Typical/Average,Paved,No Fence,Jun,2009,Warranty Deed - Conventional,Normal Sale,145000,1.5,456,15,13.352979095681002
37,37,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1954,1990,Hip,Standard (Composite) Shingle,Wood SidingWood Siding,Brick Face,650,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1297,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1297,3,1,Average/Typical,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954,Finished,2,498,Typical/Average,Typical/Average,Paved,No Fence,Oct,2009,Warranty Deed - Conventional,Normal Sale,153000,1.5,0,55,17.932489451476794
38,38,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Good,1953,2007,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1057,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1057,3,1,Good,5,Typical Functionality,0,No Fireplace,Detached from home,1953,Unfinished,1,246,Typical/Average,Typical/Average,Paved,No Fence,Jan,2010,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",109000,2.0,52,57,13.759151729361273
40,40,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Average,1965,1965,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,Brick Face,101,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1088,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1324,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1965,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,Good Wood,Dec,2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",160000,2.0,138,41,18.48001848001848
41,41,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,115,16905,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Timberland,NormalNormal,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living QuartersUnfinished,1350,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1328,2,1,Average/Typical,5,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1959,Rough Finished,1,308,Typical/Average,Typical/Average,Partial Pavement,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,170000,2.0,104,48,10.056196391600118
42,42,SPLIT FOYER,Residential Low-Density,0,9180,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer West,NormalNormal,Average,Good,1983,1983,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living QuartersLow Quality,840,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,884,2,1,Good,5,Typical Functionality,0,No Fireplace,Attached to the home,1983,Rough Finished,2,504,Typical/Average,Good,Paved,Minimum Privacy,Dec,2007,Warranty Deed - Conventional,Normal Sale,144000,2.0,240,24,15.686274509803921
43,43,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9200,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,NormalNormal,Average,Above Average,1975,1980,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Low QualityBelow Average Living Quarters,938,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,938,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1977,Unfinished,1,308,Typical/Average,Typical/Average,Paved,Minimum Privacy,Jul,2008,Warranty Deed - Conventional,Normal Sale,130250,2.0,145,33,14.157608695652174
44,44,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7945,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1959,1959,Gable,Standard (Composite) Shingle,Brick FaceWood Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersBelow Average Living Quarters,1150,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1150,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1959,Rough Finished,1,300,Typical/Average,Typical/Average,Paved,No Fence,May,2006,Warranty Deed - Conventional,Normal Sale,141000,2.0,0,47,17.74701069855255
45,45,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,61,7658,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,412,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1752,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1752,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,No Fence,Feb,2010,Warranty Deed - Conventional,Normal Sale,319900,3.0,278,5,41.773308957952466
46,46,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,48,12822,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Mitchell,NormalNormal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1434,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2149,1,1,Good,6,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003,Rough Finished,2,670,Typical/Average,Typical/Average,Paved,No Fence,Aug,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",239686,2.5,409,6,18.693339572609577
47,47,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,11096,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1656,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1656,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2006,Rough Finished,3,826,Typical/Average,Typical/Average,Paved,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,249700,2.0,146,1,22.50360490266763
49,49,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7742,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Good,1966,1966,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,955,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,955,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1966,Unfinished,1,386,Typical/Average,Typical/Average,Paved,Minimum Privacy,Jan,2007,Warranty Deed - Conventional,Normal Sale,127000,2.0,0,41,16.404029966416946
50,50,2-STORY 1946 & NEWER,Residential Low-Density,0,13869,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Above Average,1997,1997,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,794,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1470,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1997,Finished,2,388,Typical/Average,Typical/Average,Paved,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,177000,2.5,75,10,12.762275578628596
51,51,1-1/2 STORY FINISHED ALL AGES,Residential Medium,52,6240,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,NormalNormal,Above Average,Above Average,1934,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1176,3,1,Average/Typical,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1985,Unfinished,2,528,Typical/Average,Typical/Average,Paved,Minimum Privacy,Sep,2006,Warranty Deed - Conventional,Normal Sale,114500,1.0,112,72,18.349358974358974
52,52,DUPLEX - ALL STYLES AND AGES,Residential Medium,110,8472,Gravel,No Alley Access,Moderately Irregular,Banked,All Public Utilities,Corner Plot,Moderate Slope,Iowa DOT and Rail Road,Within 200' of North-South RailroadNormal,Average,Average,1963,1963,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low QualityGood Living Quarters,816,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,816,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Car Port,1963,Unfinished,2,516,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,110000,2.0,106,47,12.983947119924457
53,53,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,50271,Paved,No Alley Access,Slightly Irregular,Depression,All Public Utilities,Inside Plot,Gentle Slope,Veenker,NormalNormal,Excellent,Average,1981,1987,Gable,Wood Shingles,Wood ShinglesWd Shng,NA,0,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living QuartersUnfinished,1842,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1842,0,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1981,Finished,3,894,Typical/Average,Typical/Average,Paved,No Fence,Nov,2006,Warranty Deed - Conventional,Normal Sale,385000,2.5,929,25,7.658490978894393
54,54,SPLIT OR MULTI-LEVEL,Residential Low-Density,60,7134,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Moderate Slope,North Ames,NormalNormal,Average,Average,1955,1955,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,384,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1360,3,1,Average/Typical,6,Minor Deductions 1,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1962,Unfinished,2,572,Typical/Average,Typical/Average,Paved,Minimum Privacy,Feb,2007,Warranty Deed - Conventional,Normal Sale,130000,1.0,50,52,18.22259601906364
55,55,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10175,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Average,1964,1964,Gable,Standard (Composite) Shingle,Hard BoardPlywood,Brick Face,272,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1425,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1425,3,1,Average/Typical,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1964,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,No Fence,Jul,2008,Warranty Deed - Conventional,Normal Sale,180500,2.0,407,44,17.73955773955774
56,56,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2645,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Very Good,Average,1999,2000,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,456,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,970,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1739,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,1999,Finished,2,480,Typical/Average,Typical/Average,Paved,No Fence,Aug,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",172500,3.5,115,10,65.21739130434783
57,57,2-STORY 1946 & NEWER,Residential Low-Density,89,11645,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,860,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1720,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2004,Rough Finished,2,565,Typical/Average,Typical/Average,Paved,No Fence,Aug,2006,Warranty Deed - Conventional,Normal Sale,196500,2.5,70,2,16.874194933447832
58,58,2-STORY 1946 & NEWER,Residential Low-Density,66,13682,Paved,No Alley Access,Moderately Irregular,Hillside,All Public Utilities,Cul-De-Sac,Gentle Slope,Stone Brook,NormalNormal,Very Excellent,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,1031,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,UnfinishedUnfinished,1410,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2945,3,1,Good,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2006,Finished,3,641,Typical/Average,Typical/Average,Paved,No Fence,Oct,2006,Home just constructed and sold,Home was not completed when last assessed,438780,3.5,229,0,32.06987282561029
59,59,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Average,Good,1972,1972,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living QuartersUnfinished,780,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,780,2,1,Average/Typical,4,Typical Functionality,0,No Fireplace,Detached from home,1973,Unfinished,1,352,Typical/Average,Typical/Average,Paved,Minimum Privacy,Jan,2008,Warranty Deed - Conventional,Normal Sale,124900,1.0,196,36,17.34722222222222
